"Years","ffi_emissions","luc_emissions","antiemissions"
2005,8.03171419618529,0.53568241880109,0
2006,8.25351360108992,0.563563737111717,0
2007,8.47531300599455,0.591445055422343,0
2008,8.69711241089918,0.61932637373297,0
2009,8.91891181580382,0.647207692043597,0
2010,9.14071122070845,0.675089010354224,0
2011,9.24002686920981,0.728039328010899,0
2012,9.33934251771117,0.780989645667575,0
2013,9.43865816621253,0.833939963324251,0
2014,9.5379738147139,0.886890280980926,0
2015,9.63728946321526,0.939840598637602,0
2016,9.90303790171662,0.838730883705722,0.00559303577656676
2017,10.168786340218,0.737621168773842,0.0111860715531335
2018,10.4345347787193,0.636511453841962,0.0167791073297003
2019,10.7002832172207,0.535401738910082,0.022372143106267
2020,10.9660316557221,0.434292023978202,0.0279651788828338
2021,11.2810915278814,0.410739039237057,0.0438156188895913
2022,11.5961514000408,0.387186054495913,0.0596660588963488
2023,11.9112112722001,0.363633069754768,0.0755164989031062
2024,12.2262711443595,0.340080085013624,0.0913669389098638
2025,12.5413310165188,0.31652710027248,0.107217378916621
2026,12.9135668294603,0.336615091008174,0.137601745536567
2027,13.2858026424017,0.356703081743869,0.167986112156512
2028,13.6580384553432,0.376791072479564,0.198370478776458
2029,14.0302742682847,0.396879063215259,0.228754845396403
2030,14.4025100812262,0.416967053950954,0.259139212016349
2031,14.7880750837766,0.438072993351499,0.260614974239782
2032,15.173640086327,0.459178932752044,0.262090736463215
2033,15.5592050888774,0.480284872152589,0.263566498686648
2034,15.9447700914278,0.501390811553133,0.265042260910082
2035,16.3303350939782,0.522496750953678,0.266518023133515
2036,16.1758206333842,0.376950490108992,0.74219031240327
2037,16.0213061727902,0.231404229264305,1.21786260167302
2038,15.8667917121962,0.0858579684196185,1.69353489094278
2039,15.7122772516022,-0.0596882924250682,2.16920718021253
2040,15.5577627910082,-0.205234553269755,2.64487946948229
2041,15.6749325407084,-0.604745115585831,3.00149775215259
2042,15.7921022904087,-1.00425567790191,3.35811603482289
2043,15.909272040109,-1.40376624021798,3.71473431749319
2044,16.0264417898093,-1.80327680253406,4.07135260016349
2045,16.1436115395095,-2.20278736485014,4.42797088283379
2046,16.3075590659401,-2.31018351476839,5.17511948228883
2047,16.4715065923706,-2.41757966468665,5.92226808174387
2048,16.6354541188011,-2.5249758146049,6.66941668119891
2049,16.7994016452316,-2.63237196452316,7.41656528065395
2050,16.9633491716621,-2.73976811444142,8.16371388010899
2051,17.1207962348774,-2.76549174441417,8.98302004850136
2052,17.2782432980926,-2.79121537438692,9.80232621689373
2053,17.4356903613079,-2.81693900435967,10.6216323852861
2054,17.5931374245232,-2.84266263433243,11.4409385536785
2055,17.7505844877384,-2.86838626430518,12.2602447220708
2056,17.8652729950954,-2.84800003215259,13.0897360899183
2057,17.9799615024523,-2.8276138,13.9192274577657
2058,18.0946500098093,-2.80722756784741,14.7487188256131
2059,18.2093385171662,-2.78684133569482,15.5782101934605
2060,18.3240270245232,-2.76645510354223,16.4077015613079
2061,18.3522765155858,-2.73174351558583,17.063046106267
2062,18.3805260066485,-2.69703192762943,17.7183906512262
2063,18.4087754977112,-2.66232033967303,18.3737351961853
2064,18.4370249887738,-2.62760875171662,19.0290797411444
2065,18.4652744798365,-2.59289716376022,19.6844242861035
2066,18.3710448149319,-2.52471134103542,19.8220466190736
2067,18.2768151500272,-2.45652551831063,19.9596689520436
2068,18.1825854851226,-2.38833969558583,20.0972912850136
2069,18.088355820218,-2.32015387286104,20.2349136179837
2070,17.9941261553134,-2.25196805013624,20.3725359509537
2071,17.908078427248,-2.16964707629428,20.5272571416894
2072,17.8220306991826,-2.08732610245232,20.6819783324251
2073,17.7359829711172,-2.00500512861035,20.8366995231608
2074,17.6499352430518,-1.92268415476839,20.9914207138965
2075,17.5638875149864,-1.84036318092643,21.1461419046322
2076,17.4752464839237,-1.73087086081744,21.3269989667575
2077,17.386605452861,-1.62137854070845,21.5078560288828
2078,17.2979644217984,-1.51188622059945,21.6887130910082
2079,17.2093233907357,-1.40239390049046,21.8695701531335
2080,17.120682359673,-1.29290158038147,22.0504272152589
2081,17.026405080109,-1.24213702158038,22.1758964337875
2082,16.932127800545,-1.19137246277929,22.3013656523161
2083,16.8378505209809,-1.1406079039782,22.4268348708447
2084,16.7435732414169,-1.08984334517711,22.5523040893733
2085,16.6492959618529,-1.03907878637602,22.6777733079019
2086,16.5795920757493,-1.02208151002725,22.7721859013624
2087,16.5098881896458,-1.00508423367847,22.8665984948229
2088,16.4401843035422,-0.9880869573297,22.9610110882834
2089,16.3704804174387,-0.971089680980926,23.0554236817439
2090,16.3007765313351,-0.954092404632153,23.1498362752044
2091,16.185915639782,-0.909887882288828,23.1873233433243
2092,16.0710547482289,-0.865683359945504,23.2248104114441
2093,15.9561938566757,-0.82147883760218,23.262297479564
2094,15.8413329651226,-0.777274315258856,23.2997845476839
2095,15.7264720735695,-0.733069792915531,23.3372716158038
2096,15.6055725313351,-0.70966807640327,23.3551562844687
2097,15.4846729891008,-0.686266359891008,23.3730409531335
2098,15.3637734468665,-0.662864643378747,23.3909256217984
2099,15.2428739046321,-0.639462926866485,23.4088102904632
2100,15.1219743623978,-0.616061210354223,23.4266949591281
