Years,ffi_emissions,daccs_uptake,luc_emissions
2005,8.031714196,0,0.535682419
2006,8.253513602,0,0.563563737
2007,8.475313007,0,0.591445055
2008,8.697112413,0,0.619326374
2009,8.918911818,0,0.647207692
2010,9.140711223,0,0.67508901
2011,9.240026871,0,0.728039328
2012,9.339342519,0,0.780989646
2013,9.438658167,0,0.833939963
2014,9.537973815,0,0.886890281
2015,9.637289463,0,0.939840599
2016,9.854528565,0,0.893515324
2017,10.07176767,0,0.84719005
2018,10.28900677,0,0.800864775
2019,10.50624587,0,0.754539501
2020,10.72348497,0,0.708214226
2021,10.90990249,2.19E-06,0.681952809
2022,11.09632001,4.38E-06,0.655691391
2023,11.28273754,6.56E-06,0.629429974
2024,11.46915506,8.75E-06,0.603168556
2025,11.65557258,1.09E-05,0.576907139
2026,11.81946507,0.000101651,0.586311897
2027,11.98335755,0.000192361,0.595716655
2028,12.14725004,0.00028307,0.605121413
2029,12.31114252,0.00037378,0.61452617
2030,12.475035,0.00046449,0.623930928
2031,12.61934217,0.00048559,0.630260134
2032,12.76364934,0.000506691,0.636589339
2033,12.90795651,0.000527792,0.642918544
2034,13.05226368,0.000548893,0.649247749
2035,13.19657085,0.000569994,0.655576955
2036,11.18182511,0.105238131,1.205883597
2037,9.167079371,0.209906269,1.756190238
2038,7.152333631,0.314574406,2.30649688
2039,5.137587892,0.419242543,2.856803522
2040,3.122842153,0.523910681,3.407110163
2041,2.790398085,0.770987225,2.457008124
2042,2.457954017,1.018063769,1.506906085
2043,2.125509949,1.265140313,0.556804046
2044,1.793065881,1.512216857,-0.393297993
2045,1.460621813,1.759293401,-1.343400033
2046,1.470680277,1.713530449,-1.676123458
2047,1.480738741,1.667767497,-2.008846883
2048,1.490797204,1.622004544,-2.341570308
2049,1.500855668,1.576241592,-2.674293733
2050,1.510914132,1.53047864,-3.007017158
2051,1.437153887,1.518772759,-2.973978791
2052,1.363393643,1.507066879,-2.940940423
2053,1.289633398,1.495360998,-2.907902056
2054,1.215873154,1.483655118,-2.874863689
2055,1.14211291,1.471949237,-2.841825322
2056,1.089064657,1.468544919,-2.820122818
2057,1.036016404,1.465140602,-2.798420314
2058,0.982968152,1.461736284,-2.776717811
2059,0.929919899,1.458331966,-2.755015307
2060,0.876871647,1.454927649,-2.733312804
2061,0.839353933,1.471304365,-2.696040795
2062,0.801836219,1.487681081,-2.658768786
2063,0.764318505,1.504057797,-2.621496777
2064,0.726800791,1.520434513,-2.584224768
2065,0.689283077,1.536811229,-2.546952759
2066,0.608297249,1.554463788,-2.46862104
2067,0.52731142,1.572116346,-2.390289321
2068,0.446325591,1.589768905,-2.311957602
2069,0.365339762,1.607421463,-2.233625883
2070,0.284353934,1.625074022,-2.155294163
2071,0.186052407,1.645013763,-2.049384049
2072,0.08775088,1.664953504,-1.943473934
2073,0,1.695443892,-1.837563819
2074,0,1.81368516,-1.731653704
2075,0,1.931926427,-1.625743589
2076,0,2.03724601,-1.547501029
2077,0,2.142565594,-1.469258469
2078,0,2.247885177,-1.391015909
2079,0,2.35320476,-1.312773349
2080,0,2.458524343,-1.234530789
2081,0,2.54750788,-1.191222567
2082,0,2.636491417,-1.147914345
2083,0,2.725474954,-1.104606123
2084,0,2.81445849,-1.0612979
2085,0,2.903442027,-1.017989678
2086,0,2.982267981,-0.972872789
2087,0,3.061093935,-0.9277559
2088,0,3.139919888,-0.882639011
2089,0,3.218745842,-0.837522122
2090,0,3.297571796,-0.792405233
2091,0,3.35550369,-0.768500834
2092,0,3.413435584,-0.744596436
2093,0,3.471367478,-0.720692037
2094,0,3.529299373,-0.696787639
2095,0,3.587231267,-0.67288324
2096,0,3.593538719,-0.670067105
2097,0,3.599846172,-0.66725097
2098,0,3.606153624,-0.664434836
2099,0,3.612461076,-0.661618701
2100,0,3.618768529,-0.658802566
