"Years","ffi_emissions","daccs_uptake","luc_emissions"
2005,8.03171419618529,0,0.53568241880109
2006,8.25351360108992,0,0.563563737111717
2007,8.47531300599455,0,0.591445055422343
2008,8.69711241089918,0,0.61932637373297
2009,8.91891181580382,0,0.647207692043597
2010,9.14071122070845,0,0.675089010354224
2011,9.24002686485014,0,0.728039328010899
2012,9.33934250899182,0,0.780989645667575
2013,9.43865815313352,0,0.833939963324251
2014,9.53797379727521,0,0.886890280980926
2015,9.6372894414169,0,0.939840598637602
2016,9.78695539182561,0,0.787170933950954
2017,9.93662134223433,0,0.634501269264305
2018,10.0862872926431,0,0.481831604577657
2019,10.2359532430518,0,0.329161939891008
2020,10.3856191934605,0,0.17649227520436
2021,10.1099523654188,9.62754414168938e-06,-0.0425911948228883
2022,9.83428553737711,1.92550882833788e-05,-0.261674664850136
2023,9.55861870933542,2.88826324250681e-05,-0.480758134877384
2024,9.28295188129374,3.85101765667575e-05,-0.699841604904632
2025,9.00728505325205,4.81377207084469e-05,-0.91892507493188
2026,8.93152908915553,0.000482464087411444,-1.27804424425068
2027,8.85577312505902,0.000916790454114441,-1.63716341356948
2028,8.78001716096251,0.00135111682081744,-1.99628258288828
2029,8.70426119686599,0.00178544318752044,-2.35540175220708
2030,8.62850523276948,0.00221976955422343,-2.71452092152589
2031,8.49517748678234,0.00245763555618529,-2.79585462386921
2032,8.3618497407952,0.00269550155814714,-2.87718832621253
2033,8.22852199480807,0.00293336756010899,-2.95852202855586
2034,8.09519424882093,0.00317123356207084,-3.03985573089918
2035,7.96186650283379,0.0034090995640327,-3.12118943324251
2036,7.77302908990136,0.00369318744904632,-3.13493282615804
2037,7.58419167696894,0.00397727533405995,-3.14867621907357
2038,7.39535426403651,0.00426136321907357,-3.1624196119891
2039,7.20651685110409,0.00454545110408719,-3.17616300490463
2040,7.01767943817166,0.00482953898910082,-3.18990639782016
2041,6.80497321825395,0.00539008855367847,-3.14631623051771
2042,6.59226699833624,0.00595063811825613,-3.10272606321526
2043,6.37956077841853,0.00651118768283379,-3.05913589591281
2044,6.16685455850082,0.00707173724741144,-3.01554572861035
2045,5.95414833858311,0.0076322868119891,-2.9719555613079
2046,5.75268884081962,0.0100424244708447,-2.92813950626703
2047,5.55122934305613,0.0124525621297003,-2.88432345122616
2048,5.34976984529264,0.0148626997885559,-2.84050739618529
2049,5.14831034752915,0.0172728374474114,-2.79669134114441
2050,4.94685084976567,0.019682975106267,-2.75287528610354
2051,4.78043778146376,0.0294693062594005,-2.65899659367847
2052,4.61402471316185,0.0392556374125341,-2.56511790125341
2053,4.44761164485995,0.0490419685656676,-2.47123920882834
2054,4.28119857655804,0.0588282997188011,-2.37736051640327
2055,4.11478550825613,0.0686146308719346,-2.2834818239782
2056,3.97673190563488,0.0954748854713896,-2.21037887307902
2057,3.83867830301362,0.122335140070845,-2.13727592217984
2058,3.70062470039237,0.1491953946703,-2.06417297128065
2059,3.56257109777112,0.176055649269755,-1.99107002038147
2060,3.42451749514986,0.20291590386921,-1.91796706948229
2061,3.26254420729155,0.284385471324251,-1.82287971803815
2062,3.10057091943324,0.365855038779292,-1.72779236659401
2063,2.93859763157493,0.447324606234332,-1.63270501514986
2064,2.77662434371662,0.528794173689373,-1.53761766370572
2065,2.61465105585831,0.610263741144414,-1.44253031226158
2066,2.48442085324251,0.684251777820164,-1.42427068888283
2067,2.3541906506267,0.758239814495913,-1.40601106550409
2068,2.2239604480109,0.832227851171662,-1.38775144212534
2069,2.0937302453951,0.906215887847411,-1.36949181874659
2070,1.96350004277929,0.980203924523161,-1.35123219536785
2071,1.88110165089918,0.986584054223433,-1.27397641133515
2072,1.79870325901907,0.992964183923706,-1.19672062730245
2073,1.71630486713896,0.999344313623978,-1.11946484326975
2074,1.63390647525886,1.00572444332425,-1.04220905923706
2075,1.55150808337875,1.01210457302452,-0.96495327520436
2076,1.47379414059946,0.985485304904632,-0.925063856948229
2077,1.39608019782016,0.958866036784741,-0.885174438692098
2078,1.31836625504087,0.93224676866485,-0.845285020435967
2079,1.24065231226158,0.905627500544959,-0.805395602179837
2080,1.16293836948229,0.879008232425068,-0.765506183923706
2081,1.08788489005995,0.830274495476839,-0.74772930773842
2082,1.0128314106376,0.78154075852861,-0.729952431553133
2083,0.937777931215259,0.732807021580381,-0.712175555367847
2084,0.862724451792915,0.684073284632153,-0.694398679182561
2085,0.787670972370572,0.635339547683924,-0.676621802997275
2086,0.728215824038147,0.596895262070845,-0.663576655694823
2087,0.668760675705722,0.558450976457766,-0.650531508392371
2088,0.609305527373297,0.520006690844687,-0.637486361089918
2089,0.549850379040872,0.481562405231608,-0.624441213787466
2090,0.490395230708447,0.443118119618529,-0.611396066485014
2091,0.449124413843052,0.416083755640327,-0.60533951493188
2092,0.407853596977657,0.389049391662125,-0.599282963378747
2093,0.366582780112262,0.362015027683924,-0.593226411825613
2094,0.325311963246866,0.334980663705722,-0.58716986027248
2095,0.284041146381471,0.30794629972752,-0.581113308719346
2096,0.254262898445777,0.285751747558583,-0.581174697929155
2097,0.224484650510082,0.263557195389646,-0.581236087138965
2098,0.194706402574387,0.241362643220708,-0.581297476348774
2099,0.164928154638692,0.219168091051771,-0.581358865558583
2100,0.135149906702997,0.196973538882834,-0.581420254768392
