"Years","ffi_emissions","daccs_uptake","luc_emissions"
2005,8.03171419618529,0,0.53568241880109
2006,8.25351360108992,0,0.563563737111717
2007,8.47531300599455,0,0.591445055422343
2008,8.69711241089918,0,0.61932637373297
2009,8.91891181580382,0,0.647207692043597
2010,9.14071122070845,0,0.675089010354224
2011,9.24002686485014,0,0.728039328010899
2012,9.33934250899182,0,0.780989645667575
2013,9.43865815313352,0,0.833939963324251
2014,9.53797379727521,0,0.886890280980926
2015,9.6372894414169,0,0.939840598637602
2016,9.78696331607629,0,0.787166755138965
2017,9.9366371907357,0,0.634492911640327
2018,10.0863110653951,0,0.481819068141689
2019,10.2359849400545,0,0.329145224643052
2020,10.3856588147139,0,0.176471381144414
2021,10.3178812588359,3.72913564032698e-06,0.0129345474223433
2022,10.2501037029579,7.45827128065395e-06,-0.150602286299728
2023,10.1823261470799,1.11874069209809e-05,-0.314139120021798
2024,10.114548591202,1.49165425613079e-05,-0.477675953743869
2025,10.046771035324,1.86456782016349e-05,-0.64121278746594
2026,10.0826235205487,0.000170882401525886,-0.906085444414169
2027,10.1184760057734,0.000323119124850136,-1.1709581013624
2028,10.154328490998,0.000475355848174387,-1.43583075831063
2029,10.1901809762227,0.000627592571498638,-1.70070341525886
2030,10.2260334614474,0.000779829294822888,-1.96557607220708
2031,10.2129477406098,0.000830570582561308,-2.05607895809264
2032,10.1998620197722,0.000881311870299728,-2.1465818439782
2033,10.1867762989346,0.000932053158038147,-2.23708472986376
2034,10.173690578097,0.000982794445776567,-2.32758761574932
2035,10.1606048572594,0.00103353573351499,-2.41809050163488
2036,10.0882493767735,0.0010742623320436,-2.46958178506812
2037,10.0158938962875,0.00111498893057221,-2.52107306850136
2038,9.94353841580158,0.00115571552910082,-2.5725643519346
2039,9.87118293531564,0.00119644212762943,-2.62405563536785
2040,9.7988274548297,0.00123716872615804,-2.67554691880109
2041,9.67718057683744,0.00129044059765668,-2.66899231514986
2042,9.55553369884518,0.00134371246915531,-2.66243771149864
2043,9.43388682085291,0.00139698434065395,-2.65588310784741
2044,9.31223994286065,0.00145025621215259,-2.64932850419619
2045,9.19059306486839,0.00150352808365123,-2.64277390054496
2046,9.02351077258501,0.00157071154959128,-2.62238217389646
2047,8.85642848030163,0.00163789501553134,-2.60199044724796
2048,8.68934618801826,0.00170507848147139,-2.58159872059946
2049,8.52226389573488,0.00177226194741144,-2.56120699395095
2050,8.3551816034515,0.0018394454133515,-2.54081526730245
2051,8.18546127045532,0.00196539198119891,-2.47980938
2052,8.01574093745913,0.00209133854904632,-2.41880349269755
2053,7.84602060446294,0.00221728511689373,-2.3577976053951
2054,7.67630027146676,0.00234323168474114,-2.29679171809264
2055,7.50657993847057,0.00246917825258856,-2.23578583079019
2056,7.34144091846965,0.00285681165765668,-2.18091471782016
2057,7.17630189846872,0.0032444450627248,-2.12604360485014
2058,7.01116287846779,0.00363207846779292,-2.07117249188011
2059,6.84602385846687,0.00401971187286104,-2.01630137891008
2060,6.68088483846594,0.00440734527792916,-1.96143026594005
2061,6.50911584214877,0.00523851844305177,-1.90531562207084
2062,6.33734684583161,0.00606969160817439,-1.84920097820163
2063,6.16557784951444,0.006900864773297,-1.79308633433243
2064,5.99380885319727,0.00773203793841962,-1.73697169046322
2065,5.82203985688011,0.00856321110354223,-1.68085704659401
2066,5.67628521337221,0.0105681207291553,-1.63411214773842
2067,5.5305305698643,0.0125730303547684,-1.58736724888283
2068,5.3847759263564,0.0145779399803815,-1.54062235002725
2069,5.2390212828485,0.0165828496059945,-1.49387745117166
2070,5.0932666393406,0.0185877592316076,-1.44713255231608
2071,4.9302746472545,0.0254287491618529,-1.38655737831063
2072,4.76728265516839,0.0322697390920981,-1.32598220430518
2073,4.60429066308229,0.0391107290223433,-1.26540703029973
2074,4.44129867099619,0.0459517189525886,-1.20483185629428
2075,4.27830667891008,0.0527927088828338,-1.14425668228883
2076,4.09210059252861,0.0741819919836512,-1.08585351427793
2077,3.90589450614714,0.0955712750844687,-1.02745034626703
2078,3.71968841976567,0.116960558185286,-0.969047178256131
2079,3.5334823333842,0.138349841286104,-0.910644010245232
2080,3.34727624700272,0.159739124386921,-0.852240842234332
2081,3.15313154119891,0.214827120599455,-0.809890599291553
2082,2.9589868353951,0.269915116811989,-0.767540356348774
2083,2.76484212959128,0.325003113024523,-0.725190113405994
2084,2.57069742378747,0.380091109237057,-0.682839870463215
2085,2.37655271798365,0.435179105449591,-0.640489627520436
2086,2.17566747836512,0.590817949754768,-0.609958923215259
2087,1.97478223874659,0.746456794059946,-0.579428218910082
2088,1.77389699912807,0.902095638365123,-0.548897514604905
2089,1.57301175950954,1.0577344826703,-0.518366810299728
2090,1.37212651989101,1.21337332697548,-0.48783610599455
2091,1.34180851108992,1.20099976773842,-0.514893140708447
2092,1.31149050228883,1.18862620850136,-0.541950175422343
2093,1.28117249348774,1.17625264926431,-0.56900721013624
2094,1.25085448468665,1.16387909002725,-0.596064244850136
2095,1.22053647588556,1.15150553079019,-0.623121279564033
2096,1.17050442294278,1.10077598212534,-0.636711731008174
2097,1.12047237,1.05004643346049,-0.650302182452316
2098,1.07044031705722,0.99931688479564,-0.663892633896458
2099,1.02040826411444,0.94858733613079,-0.677483085340599
2100,0.970376211171662,0.89785778746594,-0.691073536784741
