Years,ffi_emissions,daccs_uptake,luc_emissions
2005,8.031714196,0,0.535682419
2006,8.253513601,0,0.563563737
2007,8.475313006,0,0.591445055
2008,8.697112411,0,0.619326374
2009,8.918911816,0,0.647207692
2010,9.140711221,0,0.67508901
2011,9.240026865,0,0.728039328
2012,9.339342509,0,0.780989646
2013,9.438658153,0,0.833939963
2014,9.537973797,0,0.886890281
2015,9.637289441,0,0.939840599
2016,9.854528537,0,0.893515324
2017,10.07176763,0,0.84719005
2018,10.28900673,0,0.800864775
2019,10.50624582,0,0.754539501
2020,10.72348492,0,0.708214226
2021,10.90990243,2.19E-06,0.681952809
2022,11.09631994,4.38E-06,0.655691391
2023,11.28273745,6.56E-06,0.629429974
2024,11.46915496,8.75E-06,0.603168556
2025,11.65557247,1.09E-05,0.576907139
2026,11.81946494,0.000101651,0.586311897
2027,11.98335741,0.000192361,0.595716655
2028,12.14724988,0.00028307,0.605121413
2029,12.31114235,0.00037378,0.61452617
2030,12.47503482,0.00046449,0.623930928
2031,12.61934196,0.00048559,0.630260134
2032,12.7636491,0.000506691,0.636589339
2033,12.90795624,0.000527792,0.642918544
2034,13.05226337,0.000548893,0.649247749
2035,13.19657051,0.000569994,0.655576955
2036,12.50263487,0.003596069,0.572726162
2037,11.80869923,0.006622144,0.489875368
2038,11.11476359,0.009648219,0.407024575
2039,10.42082795,0.012674294,0.324173782
2040,9.726892309,0.015700369,0.241322989
2041,9.462830023,0.018526816,-0.083692186
2042,9.198767738,0.021353263,-0.408707361
2043,8.934705452,0.024179709,-0.733722536
2044,8.670643167,0.027006156,-1.058737711
2045,8.406580881,0.029832603,-1.383752886
2046,8.121583099,0.038788653,-1.459936065
2047,7.836585317,0.047744703,-1.536119245
2048,7.551587535,0.056700753,-1.612302424
2049,7.266589752,0.065656803,-1.688485604
2050,6.98159197,0.074612853,-1.764668783
2051,6.728009126,0.092294411,-1.804743109
2052,6.474426282,0.109975969,-1.844817434
2053,6.220843438,0.127657527,-1.88489176
2054,5.967260594,0.145339085,-1.924966085
2055,5.71367775,0.163020644,-1.965040411
2056,5.490733457,0.206026857,-1.993845914
2057,5.267789164,0.249033071,-2.022651417
2058,5.044844872,0.292039284,-2.05145692
2059,4.821900579,0.335045498,-2.080262424
2060,4.598956286,0.378051711,-2.109067927
2061,4.388393852,0.491039906,-2.070234654
2062,4.177831418,0.6040281,-2.03140138
2063,3.967268984,0.717016294,-1.992568107
2064,3.756706549,0.830004489,-1.953734834
2065,3.546144115,0.942992683,-1.914901561
2066,3.317150931,1.235873036,-1.759856094
2067,3.088157747,1.52875339,-1.604810627
2068,2.859164563,1.821633744,-1.44976516
2069,2.630171379,2.114514097,-1.294719694
2070,2.401178195,2.407394451,-1.139674227
2071,2.25818951,2.636587204,-1.206326282
2072,2.115200826,2.865779958,-1.272978337
2073,1.972212141,3.094972711,-1.339630392
2074,1.829223456,3.324165465,-1.406282447
2075,1.686234771,3.553358218,-1.472934502
2076,1.617304839,3.627620153,-1.408202959
2077,1.548374907,3.701882088,-1.343471415
2078,1.479444975,3.776144023,-1.278739871
2079,1.410515043,3.850405959,-1.214008327
2080,1.341585111,3.924667894,-1.149276783
2081,1.276556344,3.948650472,-1.111231261
2082,1.211527576,3.972633051,-1.07318574
2083,1.146498809,3.99661563,-1.035140218
2084,1.081470042,4.020598209,-0.997094697
2085,1.016441275,4.044580787,-0.959049175
2086,0.938970092,4.027694344,-0.932208465
2087,0.861498908,4.0108079,-0.905367755
2088,0.784027724,3.993921457,-0.878527046
2089,0.706556541,3.977035013,-0.851686336
2090,0.629085357,3.960148569,-0.824845626
2091,0.538025653,3.920505921,-0.805191831
2092,0.446965949,3.880863272,-0.785538037
2093,0.355906245,3.841220624,-0.765884242
2094,0.264846541,3.801577975,-0.746230448
2095,0.173786837,3.761935327,-0.726576653
2096,0.085595205,3.723829581,-0.711175967
2097,0,3.68832026,-0.695775281
2098,0,3.738406146,-0.680374595
2099,0,3.788492031,-0.66497391
2100,0,3.838577916,-0.649573224
