"Years","ffi_emissions","daccs_uptake","luc_emissions"
2005,8.03171419618529,0,0.533703254495913
2006,8.25351360108992,0,0.561858869046322
2007,8.47531300599455,0,0.59001448359673
2008,8.69711241089918,0,0.618170098147139
2009,8.91891181580382,0,0.646325712697548
2010,9.14071122070845,0,0.674481327247956
2011,9.24002686485014,0,0.727836025449591
2012,9.33934250899182,0,0.781190723651226
2013,9.43865815313352,0,0.834545421852861
2014,9.53797379727521,0,0.887900120054496
2015,9.6372894414169,0,0.941254818256131
2016,9.83745764414169,0,0.944939192643052
2017,10.0376258468665,0,0.948623567029973
2018,10.2377940495913,0,0.952307941416894
2019,10.4379622523161,0,0.955992315803815
2020,10.6381304550409,0,0.959676690190736
2021,10.60241148479,9.82945992370572e-05,0.810068438354223
2022,10.5666925145391,0.000196589198474114,0.660460186517711
2023,10.5309735442882,0.000294883797711172,0.510851934681199
2024,10.4952545740373,0.000393178396948229,0.361243682844687
2025,10.4595356037864,0.000491472996185286,0.211635431008174
2026,10.4998329960645,0.0282358799882289,0.131100956893733
2027,10.5401303883427,0.0559802869802725,0.0505664827792915
2028,10.5804277806208,0.0837246939723161,-0.0299679913351499
2029,10.620725172899,0.11146910096436,-0.110502465449591
2030,10.6610225651771,0.139213507956403,-0.191036939564033
2031,10.6413169318202,0.160556799940054,-0.232184143531335
2032,10.6216112984632,0.181900091923706,-0.273331347498638
2033,10.6019056651063,0.203243383907357,-0.31447855146594
2034,10.5822000317493,0.224586675891008,-0.355625755433242
2035,10.5624943983924,0.245929967874659,-0.396772959400545
2036,10.4820499808392,0.273205565035422,-0.456180227411444
2037,10.4016055632861,0.300481162196185,-0.515587495422343
2038,10.321161145733,0.327756759356948,-0.574994763433243
2039,10.2407167281798,0.355032356517711,-0.634402031444142
2040,10.1602723106267,0.382307953678474,-0.693809299455041
2041,10.0291115803815,0.42229413133515,-0.697231649754768
2042,9.89795085013624,0.462280308991826,-0.700654000054496
2043,9.76679011989101,0.502266486648501,-0.704076350354223
2044,9.63562938964577,0.542252664305177,-0.707498700653951
2045,9.50446865940055,0.582238841961853,-0.710921050953679
2046,9.33482344016349,0.63753170119891,-0.702784000490463
2047,9.16517822092643,0.692824560435967,-0.694646950027248
2048,8.99553300168937,0.748117419673024,-0.686509899564033
2049,8.82588778245232,0.803410278910082,-0.678372849100818
2050,8.65624256321526,0.858703138147139,-0.670235798637602
2051,8.48934708245232,0.912000733678474,-0.629942753351499
2052,8.32245160168937,0.965298329209809,-0.589649708065395
2053,8.15555612092643,1.01859592474114,-0.549356662779292
2054,7.98866064016349,1.07189352027248,-0.509063617493188
2055,7.82176515940054,1.12519111580381,-0.468770572207084
2056,7.65518208501362,1.24662278964578,-0.455310445885559
2057,7.4885990106267,1.36805446348774,-0.441850319564033
2058,7.32201593623978,1.4894861373297,-0.428390193242507
2059,7.15543286185286,1.61091781117166,-0.414930066920981
2060,6.98884978746594,1.73234948501362,-0.401469940599455
2061,6.79356814850136,2.17144498201635,-0.346469941051771
2062,6.59828650953679,2.61054047901907,-0.291469941504087
2063,6.40300487057221,3.0496359760218,-0.236469941956403
2064,6.20772323160763,3.48873147302452,-0.181469942408719
2065,6.01244159264305,3.92782697002725,-0.126469942861035
2066,5.82778367384196,4.39726414223433,-0.0973757763520436
2067,5.64312575504087,4.86670131444142,-0.0682816098430518
2068,5.45846783623978,5.3361384866485,-0.03918744333406
2069,5.27380991743869,5.80557565885559,-0.0100932768250681
2070,5.0891519986376,6.27501283106267,0.0190008896839237
2071,4.87428674332425,6.81061339782016,0.0851243761613079
2072,4.6594214880109,7.34621396457766,0.151247862638692
2073,4.44455623269755,7.88181453133515,0.217371349116076
2074,4.2296909773842,8.41741509809264,0.283494835593461
2075,4.01482572207084,8.95301566485014,0.349618322070845
2076,3.84995496784741,8.8483105133515,0.194887339891008
2077,3.68508421362398,8.74360536185286,0.0401563577111716
2078,3.52021345940055,8.63890021035422,-0.114574624468665
2079,3.35534270517711,8.53419505885559,-0.269305606648501
2080,3.19047195095368,8.42948990735695,-0.424036588828338
2081,3.05516120926431,8.33248541689373,-0.400396484904632
2082,2.91985046757493,8.23548092643052,-0.376756380980926
2083,2.78453972588556,8.1384764359673,-0.353116277057221
2084,2.64922898419618,8.04147194550409,-0.329476173133515
2085,2.51391824250681,7.94446745504087,-0.305836069209809
2086,2.39113539182561,7.83741551226158,-0.290239128
2087,2.26835254114441,7.73036356948229,-0.274642186790191
2088,2.14556969046321,7.623311626703,-0.259045245580382
2089,2.02278683978202,7.51625968392371,-0.243448304370572
2090,1.90000398910082,7.40920774114441,-0.227851363160763
2091,1.79383493242507,7.30527155694823,-0.222247421891008
2092,1.68766587574932,7.20133537275204,-0.216643480621253
2093,1.58149681907357,7.09739918855586,-0.211039539351499
2094,1.47532776239782,6.99346300435967,-0.205435598081744
2095,1.36915870572207,6.88952682016349,-0.199831656811989
2096,1.27392142016349,6.79826587683924,-0.205253548158038
2097,1.1786841346049,6.70700493351499,-0.210675439504087
2098,1.08344684904632,6.61574399019074,-0.216097330850136
2099,0.988209563487737,6.52448304686648,-0.221519222196185
2100,0.892972277929155,6.43322210354223,-0.226941113542234
